Benchmarks/Nonlinear/Man Maccallum Goriely Page 57,Scripted proof,proved,60000,706,257,0,369,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Nonlinear Circuit Example 3,Scripted proof,proved,60000,917,301,0,1089,5
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Nonlinear Circuit Example 4,user,failed,60000,-1,-1,-1,-1,-1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Nonlinear Circuit RLC Circuit Oscillator,Scripted proof,proved,60000,547,255,0,374,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Prajna PhD Thesis 2-4-1 Page 31 (Variant),Scripted proof,proved,60000,522,213,0,321,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Stable Limit Cycle 2,Scripted proof,proved,60000,940,364,0,539,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Strogatz Example 6_3_2,Scripted proof,proved,60000,926,281,0,911,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Strogatz Example 6_8_3,Scripted proof,proved,60000,536,196,0,328,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Strogatz Exercise 6_1_5,Scripted proof,proved,60000,1409,550,0,1258,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Strogatz Exercise 6_1_9 Dipole,Scripted proof,proved,60000,544,207,0,328,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Strogatz Exercise 6_6_1 Reversible System,Scripted proof,proved,60000,824,320,0,671,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Strogatz Exercise 6_6_2 Limit Cycle,Scripted proof,proved,60000,1000,452,0,768,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Strogatz Exercise 7_3_5,Scripted proof,proved,60000,1033,418,0,776,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Unstable Unit Circle 2,Scripted proof,proved,60000,705,291,0,346,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Wien bridge oscillator,Scripted proof,proved,60000,1218,390,0,939,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Wiggins Example 17_1_2,Scripted proof,proved,60000,599,224,0,349,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Wiggins Example 18_7_3_n,Scripted proof,proved,60000,1940,748,0,1520,5
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/ZYLZCL Example C1,Scripted proof,proved,60000,605,309,0,520,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/ZYLZCL Example C3,Scripted proof,proved,60000,718,320,0,453,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/ZYLZCL Example C4,Scripted proof,proved,60000,1178,395,0,1014,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/ZYLZCL Example C6,Scripted proof,proved,60000,1103,401,0,986,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/ZYLZCL Example C7,Scripted proof,proved,60000,608,272,0,442,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/ZYLZCL Example C8,Scripted proof,proved,60000,659,300,0,453,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
