benchmark,instance,result,time,comment
Benchmarks/Basic/STTT Tutorial: Example 10,user,timeout,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/LICS: Example 1 Continuous car accelerates forward,user,proved,228,timeout=60000 | QE=16 | RCF=0 | proof_steps=61 | tactic_size=1
Benchmarks/Basic/LICS: Example 2 Single car drives forward,user,proved,1119,timeout=60000 | QE=373 | RCF=0 | proof_steps=1791 | tactic_size=1
Benchmarks/Basic/LICS: Example 3a event-triggered car drives forward,user,proved,1199,timeout=60000 | QE=387 | RCF=0 | proof_steps=1843 | tactic_size=1
Benchmarks/Basic/LICS: Example 4a safe stopping of time-triggered car,user,proved,2936,timeout=60000 | QE=1848 | RCF=0 | proof_steps=3486 | tactic_size=1
Benchmarks/Basic/LICS: Example 4b progress of time-triggered car,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/LICS: Example 4c relative safety of time-triggered car,user,proved,3291,timeout=60000 | QE=1955 | RCF=0 | proof_steps=5003 | tactic_size=1
Benchmarks/Basic/LICS: Example 5 Controllability Equivalence,user,proved,3548,timeout=60000 | QE=737 | RCF=0 | proof_steps=2979 | tactic_size=1
Benchmarks/Basic/LICS: Example 6 MPC Acceleration Equivalence,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/LICS: Example 7 Model-Predictive Control Design Car,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/Static semantics correctness: Assignment 1,Scripted proof,proved,186,timeout=60000 | QE=135 | RCF=0 | proof_steps=38 | tactic_size=3
Benchmarks/Basic/Static semantics correctness: Assignment 2,Scripted proof,proved,266,timeout=60000 | QE=144 | RCF=0 | proof_steps=75 | tactic_size=5
Benchmarks/Basic/Static semantics correctness: Assignment 3,Scripted proof,proved,342,timeout=60000 | QE=170 | RCF=0 | proof_steps=154 | tactic_size=7
Benchmarks/Basic/Static semantics correctness: Assignment 4,Scripted proof,proved,755,timeout=60000 | QE=269 | RCF=0 | proof_steps=413 | tactic_size=3
Benchmarks/Basic/Static semantics correctness: Assignment 5,Scripted proof,proved,68,timeout=60000 | QE=0 | RCF=0 | proof_steps=28 | tactic_size=7
Benchmarks/Basic/Static semantics correctness: Assignment 6,Scripted proof,proved,254,timeout=60000 | QE=160 | RCF=0 | proof_steps=140 | tactic_size=19
Benchmarks/Basic/Static semantics correctness: Assignment 7,Scripted proof,proved,1018,timeout=60000 | QE=397 | RCF=0 | proof_steps=765 | tactic_size=15
